Features,Importance
mileage_num,0.5767496909143441
engine_displacement_num,0.07070830387506932
motor,0.012175106997031204
year_num,0.00023080675093226088
make,0.0
transmission,0.0
title_status,0.0
model,0.0
condition,-0.000101831145576603
