Features,Importance
mileage_num,0.5326463798060959
engine_displacement_num,0.12029792536422268
condition,0.0120122983820031
motor,0.00614180899079258
year_num,0.00038730471615233133
make,0.0
transmission,0.0
model,0.0
title_status,0.0
