Features,Importance
mileage_num,0.5224398715186716
engine_displacement_num,0.05073985850060729
motor,0.008737889370809859
condition,0.0027910611002386954
year_num,0.00020998453470985612
make,0.0
transmission,0.0
model,0.0
title_status,0.0
