Features,Importance
mileage_num,0.5516337532901947
engine_displacement_num,0.03861056568422018
motor,0.006969632511932578
year_num,0.003946597356375497
condition,0.0005698142685485519
make,0.0
model,0.0
title_status,0.0
transmission,-0.0002377265516725402
