Features,Importance
mileage_num,0.45112404826427993
engine_displacement_num,0.033464705900636965
motor,0.00709303691961472
transmission,0.00013597112428969104
make,0.0
model,0.0
title_status,0.0
year_num,-0.00018372115374215014
condition,-0.006663820172545703
